ICOD = 0:No mistakes
Number of iterations 11
Final value of shooting parametr 1.0009765625
   x         y            deltaU      y'                  deltaU'
-0.20000   4.00000e-02   9.76563e-04  -4.00000e-01   1.33227e-15
-0.19000   3.61000e-02   9.76563e-04  -3.80000e-01   1.33227e-15
-0.18000   3.24000e-02   9.76563e-04  -3.60000e-01   1.33227e-15
-0.17000   2.89000e-02   9.76563e-04  -3.40000e-01   1.33227e-15
-0.16000   2.56000e-02   9.76563e-04  -3.20000e-01   1.55431e-15
-0.15000   2.25000e-02   9.76563e-04  -3.00000e-01   1.55431e-15
-0.14000   1.96000e-02   9.76563e-04  -2.80000e-01   1.55431e-15
-0.13000   1.69000e-02   9.76563e-04  -2.60000e-01   1.55431e-15
-0.12000   1.44000e-02   9.76563e-04  -2.40000e-01   1.52656e-15
-0.11000   1.21000e-02   9.76563e-04  -2.20000e-01   1.49880e-15
-0.10000   1.00000e-02   9.76563e-04  -2.00000e-01   1.47105e-15
-0.09000   8.10000e-03   9.76563e-04  -1.80000e-01   1.44329e-15
-0.08000   6.40000e-03   9.76563e-04  -1.60000e-01   1.41553e-15
-0.07000   4.90000e-03   9.76563e-04  -1.40000e-01   1.38778e-15
-0.06000   3.60000e-03   9.76563e-04  -1.20000e-01   1.37390e-15
-0.05000   2.50000e-03   9.76563e-04  -1.00000e-01   1.36002e-15
-0.04000   1.60000e-03   9.76563e-04  -8.00000e-02   1.56819e-15
-0.03000   9.00000e-04   9.76563e-04  -6.00000e-02   1.55431e-15
-0.02000   4.00000e-04   9.76563e-04  -4.00000e-02   1.54043e-15
-0.01000   1.00000e-04   9.76563e-04  -2.00000e-02   1.52309e-15
 0.00000   0.00000e+00   9.76563e-04   0.00000e+00   1.50574e-15
 0.01000   1.00000e-04   9.76563e-04   2.00000e-02   1.48839e-15
 0.02000   4.00000e-04   9.76563e-04   4.00000e-02   1.47105e-15
 0.03000   9.00000e-04   9.76563e-04   6.00000e-02   1.45717e-15
 0.04000   1.60000e-03   9.76563e-04   8.00000e-02   1.44329e-15
 0.05000   2.50000e-03   9.76563e-04   1.00000e-01   1.42941e-15
 0.06000   3.60000e-03   9.76563e-04   1.20000e-01   1.41553e-15
 0.07000   4.90000e-03   9.76563e-04   1.40000e-01   1.38778e-15
 0.08000   6.40000e-03   9.76563e-04   1.60000e-01   1.36002e-15
 0.09000   8.10000e-03   9.76563e-04   1.80000e-01   1.33227e-15
 0.10000   1.00000e-02   9.76563e-04   2.00000e-01   1.30451e-15
 0.11000   1.21000e-02   9.76563e-04   2.20000e-01   1.27676e-15
 0.12000   1.44000e-02   9.76563e-04   2.40000e-01   1.24900e-15
